,,,,,bbm2,,ekfe,,lbs,,bbm4,,ptrd,,jsbvc,,jsbfp,,gfhfs,
,,,,,ORIGINAL,GENERATED,ORIGINAL,GENERATED,ORIGINAL,GENERATED,ORIGINAL,GENERATED,ORIGINAL,GENERATED,ORIGINAL,GENERATED,ORIGINAL,GENERATED,ORIGINAL,GENERATED
Age,Sex,How often have you been exposed to Western music?,Have you received any formal musical training in the past?,Please specify the duration of your musical training:,"Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?","Please listen to this continuation.

How well does it fit the original melody?"
23,Male,Very frequently,"No, I have not received any formal musical training.",,6,3,6,2,5,6,3,6,6,3,3,5,4,5,6,3
22,Male,Very frequently,"No, I have not received any formal musical training.",,6,1,7,2,6,5,6,4,7,3,6,2,6,2,7,2
21,Male,Very frequently,"No, I have not received any formal musical training.",,5,1,6,2,7,6,7,3,7,5,7,4,6,6,7,3
21,Male,Very frequently,"No, I have not received any formal musical training.",,3,5,6,2,4,7,5,3,7,7,6,5,5,4,7,5
21,Male,Very frequently,"No, I have not received any formal musical training.",,6,2,7,1,5,4,6,4,7,1,7,4,6,7,5,1
23,Female,Very frequently,"No, I have not received any formal musical training.",,6,3,7,1,7,4,7,4,6,2,7,1,7,4,6,1
23,Male,Very frequently,"No, I have not received any formal musical training.",,7,5,6,3,5,2,6,6,7,4,5,6,5,7,3,2
18,Female,Very frequently,"No, I have not received any formal musical training.",,6,3,7,2,7,5,4,4,6,3,6,3,7,6,6,2
21,Prefer not to say,Very frequently,"No, I have not received any formal musical training.",,6,2,5,1,3,2,5,2,4,1,3,2,5,5,4,2
22,Male,Frequently,"No, I have not received any formal musical training.",,5,3,4,1,6,7,5,6,6,4,5,2,6,7,2,5
23,Male,Frequently,"Yes, I have received formal musical training.",1-3 years,6,3,6,5,4,3,6,6,5,3,5,4,5,5,4,5
25,Male,Frequently,"Yes, I have received formal musical training.",Less than 1 year,4,5,3,5,6,3,6,7,6,7,4,6,5,4,6,4
22,Female,Very frequently,"Yes, I have received formal musical training.",3-5 years,6,5,7,5,6,7,7,5,7,7,7,6,7,6,7,3
22,Female,Very frequently,"No, I have not received any formal musical training.",,6,1,7,1,5,3,7,5,7,1,5,1,6,3,6,1
13,Prefer not to say,Very frequently,"No, I have not received any formal musical training.",,7,2,6,1,4,6,5,3,7,2,7,3,4,6,3,3
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,Averages per continuation:,5.67,2.93,6,2.27,5.33,4.67,5.67,4.53,6.33,3.53,5.53,3.6,5.6,5.13,5.27,2.8